ID,County,Rural2020,Rural2020new,Rural2024,Rural2024new,CWPP2012,CWPP2014,CWPP2016,CWPP2018,CWPP2020,CWPP2022,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,Rep2012,Dem2012,Win2012,Rep2016,Dem2016,Win2016,Rep2020,Dem2020,Win2020,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022,TOrate_growth_2012_2020,TOrate_growth_2012_2016,TOrate_growth_2016_2020,Win2012new,Win2016new,Win2020new,Wing2016_2020,Percent_Urban,Percent_Rural,Percent_Hispanic,Percent_White,Percent_Black,Percent_Indian,Percent_Asian,Percent_Pacific,Percent_Multi,Percent_NotH_White,Percent_NotH_Black,Age17Under,Age65Older,Age85Older,Median_Age,Per_Capita_Income2022,Total_Personal_Income2022,Median_Household_Income2022,Percent_Poverty,Percent_Poverty_under18,Percent_Bachelor,People_Bachelor,Unemploy_Rate2019,Unemploy_Rate2020,Unemploy_Rate2021,Unemploy_Rate2022,Unemploy_Rate2023,OnSystem_Centerline,OffSystem_Centerline,ratio_Centerline,OnSystem_Lane,OffSystem_Lane,ratio_Lane,Consolidated,SpanishVR_primary_2012,SpanishVR_general_2012,SpanishVR_midterm_2014,SpanishVR_primary_2016,SpanishVR_general_2016,SpanishVR_midterm_2018,SpanishVR_primary_2020,SpanishVR_general_2020,SpanishVR_midterm_2022,spanpro_2012p,spanpro_2012g,spanpro_2014m,spanpro_2016p,spanpro_2016g,spanpro_2018m,spanpro_2020p,spanpro_2020g,spanpro_2022m
122,Jasper,rural,1,Rural,1,0,0,0,0,0,0,35710,35710,35710,35710,35710,35710,35710,35710,21098,21526,22333,23205,23624,22744,22605,23353,23730,4842,13643,7142,7330,13491,11960,7591,15732,11458,0.2295,0.6338,0.3198,0.3159,0.5711,0.5259,0.3358,0.6737,0.4828,9957,3423,Republican,10609,2590,Republican,12542,2954,Republican,0.0975,0.0849,-0.0115,0.0999,0.0714,-0.0259,0.0184,0.0626,0.0434,-0.0111,0.1531,0.1661,0.5138,0.5677,0.0356,0.6746,0.6043,-0.042,0.0399,-0.0627,0.1026,1,1,1,0,0.2214,0.7786,0.0727,0.8086,0.1575,0.0086,0.0067,0.0009,0.0177,0.7449,0.1538,0.2341,0.2136,0.0192,41.9,51346,1667932000,50763,0.194,0.285,0.122,2791,0.061,0.112,0.096,0.065,0.063,323.84,773.02,0.4189,777.57,1549.94,0.5017,0,459,480,546,600,626,658,683,730,763,0.021755617,0.022298616,0.024448126,0.025856496,0.026498476,0.028930707,0.030214554,0.031259367,0.032153392
123,Jeff Davis,rural,1,Rural,1,0,0,0,0,0,0,2342,2342,2342,2342,2342,2342,2342,2342,1545,1513,1682,1580,1654,1715,1623,1664,1564,693,1191,1051,806,1216,1177,807,1307,1054,0.4485,0.7872,0.6249,0.5101,0.7352,0.6863,0.4972,0.7855,0.6739,719,440,Republican,695,422,Republican,784,501,Republican,0.0932,0.0998,0.006,0.0227,0.0505,0.0272,0.0196,-0.0702,-0.088,0.021,0.0974,0.0748,0.1631,0.1645,0.0012,0.1199,0.0029,-0.1045,-0.0017,-0.052,0.0503,1,1,1,0,0,1,0.3211,0.9186,0.0152,0.0215,0.0194,0.0026,0.0226,0.6153,0.0074,0.0496,0.4526,0.0415,62.9,59491,113212000,58285,0.133,0.366,0.278,455,0.029,0.051,0.043,0.035,0.032,226.6,56.28,4.0265,472.01,112.56,4.1936,0,324,316,345,331,341,335,301,304,272,0.209708738,0.208856576,0.205112961,0.209493671,0.206166868,0.195335277,0.185459026,0.182692308,0.173913043
124,Jefferson,urban,0,Urban,0,0,0,0,0,1,1,252273,252273,252273,252273,252273,252273,252273,252273,141224,141929,145993,145753,149203,147651,147132,149094,148045,27168,88542,53709,41219,88872,74831,34604,95469,62806,0.1924,0.6238,0.3679,0.2828,0.5956,0.5068,0.2352,0.6403,0.4242,43242,44668,Democrat,42862,42443,Republican,47570,46073,Republican,0.0513,0.0505,-0.0007,0.0321,0.0418,0.0095,0.0114,0.0141,0.0027,0.0037,0.0782,0.0742,0.5172,0.2737,-0.1605,0.3933,0.1694,-0.1607,0.0165,-0.0282,0.0447,2,1,1,0,0.9015,0.0985,0.237,0.5839,0.3448,0.0108,0.0408,0.0014,0.0184,0.3737,0.3331,0.2458,0.1592,0.0171,37.2,48131,12072705000,55065,0.188,0.24,0.199,33842,0.059,0.12,0.098,0.063,0.063,364.71,1650.21,0.221,1119.79,3467.62,0.3229,0,9249,9475,10645,11074,11729,12174,12834,13314,14229,0.065491701,0.066758731,0.072914455,0.075977853,0.07861102,0.082451186,0.087227795,0.089299368,0.096112668
125,Jim Hogg,rural,1,Rural,1,0,0,0,0,0,0,5300,5300,5300,5300,5300,5300,5300,5300,3687,3775,3854,3880,3942,3818,3820,3795,3701,1727,1697,734,2191,2186,1510,1244,2093,1646,0.4684,0.4495,0.1905,0.5647,0.5545,0.3955,0.3257,0.5515,0.4447,356,1301,Democrat,430,1635,Democrat,833,1197,Democrat,0.0442,0.0053,-0.0373,0.0523,0.0361,-0.0155,-0.0093,-0.0397,-0.0306,0.2882,0.2334,-0.0425,0.2687,-0.2797,-0.4322,1.0572,1.2425,0.0901,0.102,0.105,-0.003,2,2,2,0,0,1,0.9118,0.9651,0.0094,0.0067,0.0067,0.0008,0.0111,0.0655,0.0073,0.2871,0.1807,0.0161,35.4,40561,193190000,43782,0.269,0.424,0.128,311,0.048,0.096,0.086,0.054,0.047,142.71,102.91,1.3868,288.09,205.82,1.3997,0,3358,3439,3505,3506,3555,3418,3416,3386,3292,0.910767562,0.910993377,0.909444733,0.903608247,0.901826484,0.895233106,0.894240838,0.892226614,0.889489327
126,Jim Wells,rural,1,Rural,1,0,0,0,0,0,0,40838,40838,40838,40838,40838,40838,40838,40838,25048,25249,25665,25785,26511,26349,26355,26581,26590,6781,11167,5870,9650,12555,10036,5961,13865,9725,0.2707,0.4423,0.2287,0.3742,0.4736,0.3809,0.2262,0.5216,0.3657,4598,6492,Democrat,5420,6694,Democrat,7453,6119,Republican,0.05,0.0528,0.0026,0.0294,0.0522,0.0221,0.0267,0.036,0.0091,0.1243,0.2416,0.1043,0.4231,-0.1209,-0.3823,0.7097,0.6567,-0.031,0.0793,0.0313,0.048,2,2,1,1,0.4992,0.5008,0.8012,0.9586,0.0124,0.0116,0.0068,0.0009,0.0098,0.1781,0.0072,0.2713,0.1617,0.0164,36.1,48093,1867264000,48252,0.248,0.363,0.153,3795,0.047,0.13,0.099,0.058,0.052,273.89,705.01,0.3885,715.76,1424.57,0.5024,0,18541,18716,19045,19192,19681,19486,19410,19454,19263,0.74021878,0.741257079,0.742061173,0.744308707,0.742371091,0.739534707,0.736482641,0.731876152,0.72444528
127,Johnson,urban,0,Urban,0,0,0,0,0,0,0,150934,150934,150934,150934,150934,150934,150934,150934,78353,79269,84074,85790,91876,96882,100546,106212,116702,11587,48840,29284,29275,58102,52650,23717,72440,56092,0.1479,0.6161,0.3483,0.3412,0.6324,0.5434,0.2359,0.682,0.4806,37661,10496,Republican,44382,10988,Republican,54628,16464,Republican,0.159,0.3399,0.156,0.0949,0.2832,0.172,0.1523,0.3881,0.2046,0.1896,0.4832,0.2468,1.5265,1.0469,-0.1899,0.7979,0.9154,0.0654,0.0659,0.0163,0.0496,1,1,1,0,0.5353,0.4647,0.2511,0.8924,0.0571,0.0099,0.0126,0.0049,0.0231,0.6582,0.0521,0.2566,0.1412,0.0118,36.6,52837,10330042000,76747,0.1,0.128,0.214,25522,0.032,0.065,0.049,0.035,0.036,414.36,1547.53,0.2678,1005.01,3117.66,0.3224,0,6501,6695,7712,8213,9048,10060,11040,11861,14267,0.082970658,0.084459246,0.091728715,0.095733769,0.098480561,0.103837658,0.109800489,0.111672881,0.122251547
128,Jones,rural,1,Urban,0,0,0,0,1,1,1,20202,20202,20202,20202,20202,20202,20202,20202,9756,9778,9885,9857,10100,9932,9288,9623,10297,1229,5619,3379,3736,5990,4996,3177,6747,5007,0.126,0.5747,0.3418,0.379,0.5931,0.503,0.3421,0.7011,0.4863,4262,1226,Republican,4819,936,Republican,5660,999,Republican,0.0329,-0.0159,-0.0472,0.0104,-0.048,-0.0577,0.0048,0.0417,0.0367,0.066,0.2007,0.1264,2.0399,1.585,-0.1496,0.4785,0.4818,0.0022,0.1264,0.0184,0.108,1,1,1,0,0,1,0.2872,0.8251,0.1326,0.0155,0.0075,0.0006,0.0188,0.5728,0.1192,0.1696,0.1548,0.0166,38.4,39944,796278000,51894,0.22,0.231,0.112,1635,0.043,0.071,0.061,0.044,0.046,446.31,1022.44,0.4365,1005.65,2044.88,0.4918,0,1493,1502,1575,1599,1656,1660,1522,1557,1701,0.15303403,0.153610145,0.159332322,0.162219742,0.163960396,0.167136528,0.163867356,0.161799855,0.165193746
129,Karnes,rural,1,Rural,1,0,0,0,0,1,1,14824,14824,14824,14824,14824,14824,14824,14824,7599,7699,7816,7762,7934,8019,8125,8325,8347,2198,4181,2589,2629,4281,4149,2400,5254,3856,0.2892,0.5431,0.3312,0.3387,0.5396,0.5174,0.2954,0.6311,0.462,2825,1325,Republican,2965,1145,Republican,3968,1234,Republican,0.0305,0.0813,0.0493,0.0215,0.0692,0.0468,0.026,0.0679,0.0409,0.0239,0.2566,0.2273,0.1961,0.0919,-0.0871,0.6025,0.4894,-0.0706,0.088,-0.0035,0.0915,1,1,1,0,0,1,0.5665,0.866,0.1027,0.0117,0.0067,0.0004,0.0125,0.3267,0.0929,0.1998,0.1437,0.0181,35.8,81179,1204368000,61860,0.195,0.251,0.163,1684,0.025,0.063,0.052,0.033,0.031,336.29,624.1,0.5388,708.54,1248.2,0.5676,0,3376,3453,3511,3486,3552,3658,3732,3804,3785,0.444268983,0.448499805,0.449206755,0.449111054,0.447693471,0.456166604,0.459323077,0.456936937,0.453456332
130,Kaufman,urban,0,Urban,0,0,1,1,1,1,1,103350,103350,103350,103350,103350,103350,103350,103350,56796,57680,61605,63530,67608,72156,75783,81757,93613,9569,35269,20580,20763,41849,38464,20694,56957,43015,0.1685,0.6115,0.3341,0.3268,0.619,0.5331,0.2731,0.6967,0.4595,24846,9472,Republican,29587,10278,Republican,37624,18405,Republican,0.1721,0.4174,0.2093,0.1186,0.3343,0.1929,0.1713,0.5196,0.2974,0.1866,0.6149,0.361,1.1698,1.1626,-0.0033,0.869,1.0901,0.1183,0.0852,0.0075,0.0777,1,1,1,0,0.5808,0.4192,0.2701,0.7501,0.1942,0.0104,0.0203,0.0011,0.0239,0.5017,0.1861,0.2879,0.1042,0.0081,33.7,52659,9076697000,92814,0.086,0.118,0.238,22541,0.032,0.064,0.049,0.038,0.041,501.9,1255.33,0.3998,1234.49,2530.23,0.4879,1,4008,4188,4927,5293,5974,7095,8103,9120,12130,0.07056835,0.07260749,0.079977275,0.083314969,0.088362324,0.098328621,0.106923716,0.111550081,0.12957602
131,Kendall,rural,1,Urban,0,0,0,1,1,1,1,33410,33410,33410,33410,33410,33410,33410,33410,24741,24993,26733,27659,29072,30465,31676,33731,36478,7188,17890,11945,11329,20435,19859,9758,26576,22587,0.2905,0.7158,0.4468,0.4096,0.7029,0.6519,0.3081,0.7879,0.6192,14508,3043,Republican,15700,3643,Republican,20083,6020,Republican,0.1632,0.3496,0.1603,0.1179,0.2803,0.1452,0.1396,0.3645,0.1974,0.1423,0.4855,0.3005,0.5761,0.3575,-0.1387,0.6625,0.8909,0.1374,0.0721,-0.0129,0.085,1,1,1,0,0.432,0.568,0.2606,0.936,0.0168,0.0081,0.0169,0.0011,0.0212,0.6911,0.0134,0.2198,0.2073,0.0246,43.5,106508,5216003000,120238,0.07,0.091,0.485,15319,0.027,0.051,0.039,0.032,0.033,195.23,512.12,0.3812,458.19,1024.25,0.4473,0,2597,2647,2939,3099,3287,3478,3662,3983,4515,0.104967463,0.105909655,0.109939027,0.112043096,0.113064117,0.114163795,0.115608031,0.11808129,0.123773233
132,Kenedy,rural,1,Rural,1,0,0,0,0,0,0,416,416,416,416,416,416,416,416,359,360,346,308,318,303,293,292,297,164,172,125,150,186,205,144,211,162,0.4568,0.4778,0.3613,0.487,0.5849,0.6766,0.4915,0.7226,0.5455,84,82,Republican,84,99,Democrat,127,65,Republican,-0.1167,-0.1889,-0.0818,-0.1421,-0.1838,-0.0487,-0.1243,-0.1416,-0.0198,0.0814,0.2267,0.1344,-0.0854,-0.122,-0.04,0.64,0.296,-0.2098,0.2448,0.1071,0.1377,1,2,1,1,0,1,0.6816,0.8743,0.0531,0.0196,0.0168,0,0.0363,0.2402,0.0251,0.1574,0.2274,0.0146,44.8,38232,13687000,43274,0.076,0.153,0.08,7,0.035,0.056,0.059,0.062,0.071,49.4,63.89,0.7732,192.2,127.78,1.5042,0,245,248,240,217,222,213,209,206,218,0.682451253,0.688888889,0.693641618,0.704545455,0.698113208,0.702970297,0.71331058,0.705479452,0.734006734
133,Kent,rural,1,Rural,1,0,0,0,0,0,0,808,808,808,808,808,808,808,808,619,613,611,603,615,579,591,595,587,145,405,307,289,434,344,237,481,351,0.2342,0.6607,0.5025,0.4793,0.7057,0.5941,0.401,0.8084,0.598,335,66,Republican,360,59,Republican,411,47,Republican,0.0033,-0.0294,-0.0325,-0.0258,-0.0452,-0.0199,-0.0524,-0.0393,0.0138,0.0716,0.1877,0.1083,0.9931,0.6345,-0.1799,0.1205,0.1433,0.0203,0.1477,0.045,0.1027,1,1,1,0,0,1,0.2095,0.9405,0.0122,0.0176,0.0027,0.0014,0.0257,0.75,0.0095,0.2411,0.2575,0.0422,45,63719,47152000,58118,0.118,0.155,0.279,126,0.023,0.039,0.029,0.02,0.021,161.27,228.52,0.7057,322.54,457.04,0.7057,0,57,55,60,58,58,58,64,66,63,0.092084006,0.089722675,0.098199673,0.096185738,0.094308943,0.100172712,0.108291032,0.11092437,0.107325383
134,Kerr,urban,0,Rural,1,0,0,0,0,0,0,49625,49625,49625,49625,49625,49625,49625,49625,31687,31883,32646,33385,34639,35559,36082,37649,39002,9289,21879,14936,14171,23297,22215,13336,27889,22604,0.2931,0.6862,0.4575,0.4245,0.6726,0.6247,0.3696,0.7408,0.5796,17274,4338,Republican,17727,4681,Republican,20879,6524,Republican,0.0864,0.1808,0.0869,0.0536,0.1387,0.0808,0.0892,0.1947,0.0968,0.0648,0.2747,0.1971,0.5256,0.4357,-0.0589,0.4873,0.5134,0.0175,0.0546,-0.0136,0.0682,1,1,1,0,0.6054,0.3946,0.2865,0.9335,0.0205,0.0125,0.0132,0.0013,0.019,0.6683,0.0147,0.1836,0.2928,0.0352,48.7,64198,3450044000,59619,0.125,0.192,0.298,11457,0.029,0.059,0.046,0.036,0.035,291.15,609.96,0.4773,711.72,1224.5,0.5812,0,3813,3860,4074,4233,4463,4776,4960,5247,5661,0.12033326,0.121067654,0.124793237,0.12679347,0.128843211,0.134311989,0.137464664,0.139366251,0.145146403
135,Kimble,rural,1,Rural,1,0,0,0,0,0,0,4607,4607,4607,4607,4607,4607,4607,4607,2881,2900,2877,2840,2916,2885,2982,3102,3169,1397,1892,1231,1182,1978,1720,1437,2292,1881,0.4849,0.6524,0.4279,0.4162,0.6783,0.5962,0.4819,0.7389,0.5936,1667,217,Republican,1697,206,Republican,1987,284,Republican,0.0055,0.0697,0.0638,-0.0142,0.0351,0.05,0.0028,0.1015,0.0984,0.0455,0.2114,0.1587,-0.1539,0.0286,0.2157,0.3972,0.528,0.0936,0.0865,0.0259,0.0606,1,1,1,0,0,1,0.2494,0.9509,0.0127,0.014,0.0086,0.0011,0.0127,0.7157,0.01,0.1833,0.3095,0.0342,50.8,54393,240524000,51851,0.169,0.318,0.279,885,0.03,0.05,0.042,0.034,0.034,295.82,346.24,0.8544,686.03,692.49,0.9907,0,369,370,381,374,381,365,389,405,389,0.128080528,0.127586207,0.132429614,0.131690141,0.130658436,0.126516464,0.130449363,0.130560928,0.122751657
136,King,rural,1,Rural,1,0,0,0,0,0,0,286,286,286,286,286,286,286,286,182,181,186,188,202,183,175,182,158,63,145,94,117,159,131,115,159,103,0.3462,0.8011,0.5054,0.6223,0.7871,0.7158,0.6571,0.8736,0.6519,139,5,Republican,149,5,Republican,151,8,Republican,0.116,0.0055,-0.099,0.033,-0.0385,-0.0691,-0.0161,-0.1505,-0.1366,0.0966,0.0966,0,0.8571,0.8254,-0.0171,0.3936,0.0957,-0.2137,0.0725,-0.014,0.0865,1,1,1,0,0,1,0.2232,0.927,0.0258,0.0129,0,0.0043,0.03,0.7124,0.0258,0.2258,0.2627,0.0461,46.5,113494,26444000,87856,0.103,0.097,0.306,49,0.021,0.017,0.009,0.009,0.01,93.59,199.15,0.4699,228.62,398.31,0.574,0,13,15,14,15,17,13,12,12,8,0.071428571,0.082872928,0.075268817,0.079787234,0.084158416,0.071038251,0.068571429,0.065934066,0.050632911
137,Kinney,rural,1,Rural,1,0,0,0,0,0,0,3598,3598,3598,3598,3598,3598,3598,3598,2301,2320,2295,2200,2246,2238,2216,2263,2178,760,1426,1212,873,1432,1203,1015,1628,1205,0.3303,0.6147,0.5281,0.3968,0.6376,0.5375,0.458,0.7194,0.5533,880,522,Republican,936,458,Republican,1144,446,Republican,-0.0319,-0.0246,0.0076,-0.0439,-0.0369,0.0073,-0.0248,-0.051,-0.0268,0.0042,0.1417,0.1369,0.1487,0.3355,0.1627,-0.0074,-0.0058,0.0017,0.1047,0.0229,0.0818,1,1,1,0,0,1,0.6253,0.8871,0.0323,0.0243,0.0106,0.0026,0.0432,0.3104,0.0185,0.175,0.2614,0.0337,42.5,40805,127638000,52609,0.21,0.277,0.133,337,0.035,0.06,0.056,0.048,0.046,203.42,94.51,2.1523,406.84,189.03,2.1523,0,915,944,959,932,939,952,947,964,952,0.397653194,0.406896552,0.417864924,0.423636364,0.418076581,0.425379803,0.42734657,0.425983208,0.437098255
138,Kleberg,rural,1,Rural,1,0,0,0,0,0,0,32061,32061,32061,32061,32061,32061,32061,32061,16397,16535,17405,17261,18009,18060,18121,18692,18599,3266,9013,5797,4791,9679,8685,4341,11186,7683,0.1992,0.5451,0.3331,0.2776,0.5375,0.4809,0.2396,0.5984,0.4131,4058,4754,Democrat,4367,4716,Democrat,5504,5314,Republican,0.0891,0.1305,0.0379,0.0527,0.1051,0.0498,0.0376,0.0686,0.0298,0.0739,0.2411,0.1557,0.4669,0.3291,-0.0939,0.4982,0.3253,-0.1154,0.0533,-0.0076,0.0609,2,2,1,1,0.8036,0.1964,0.7376,0.9073,0.0411,0.0101,0.0237,0.002,0.0157,0.1958,0.0325,0.2395,0.138,0.0163,28.9,45342,1376678000,51342,0.267,0.304,0.23,3953,0.043,0.085,0.07,0.048,0.046,154.28,350.67,0.4399,378.53,708.34,0.5344,0,10097,10179,10918,10879,11282,11346,11387,11687,11613,0.615783375,0.615603266,0.627291008,0.630264759,0.626464546,0.628239203,0.628386954,0.625240745,0.624388408
139,Knox,rural,1,Rural,1,0,0,0,0,0,0,3719,3719,3719,3719,3719,3719,3719,3719,2236,2263,2372,2390,2444,2418,2373,2382,2176,230,1510,900,807,1367,1097,875,1456,1045,0.1029,0.6673,0.3794,0.3377,0.5593,0.4537,0.3687,0.6113,0.4802,1160,332,Republican,1078,247,Republican,1180,265,Republican,0.08,0.0526,-0.0254,0.0689,0.0613,-0.0071,0.0194,-0.0826,-0.1001,-0.0947,-0.0358,0.0651,2.5087,2.8043,0.0843,0.2189,0.1611,-0.0474,-0.056,-0.108,0.052,1,1,1,0,0,1,0.3486,0.8747,0.0629,0.0168,0.0079,0.0009,0.0367,0.5573,0.0556,0.2707,0.202,0.0254,39.8,51914,169916000,47207,0.193,0.272,0.142,327,0.032,0.056,0.047,0.04,0.035,219.51,456.81,0.4805,469.56,913.61,0.514,0,502,517,550,570,579,576,565,563,499,0.22450805,0.228457799,0.231871838,0.238493724,0.23690671,0.2382134,0.238095238,0.236356003,0.229319853
140,La Salle,rural,1,Rural,1,0,0,0,0,0,0,6886,6886,6886,6886,6886,6886,6886,6886,3935,3950,4100,4107,4170,4281,4365,4436,4317,1373,1673,868,1100,2109,1504,1357,2439,1469,0.3489,0.4235,0.2117,0.2678,0.5058,0.3513,0.3109,0.5498,0.3403,12826,4181,Republican,14561,3583,Republican,16760,4458,Republican,0.0557,0.123,0.0638,0.0437,0.1093,0.0628,0.0441,0.0529,0.0084,0.2606,0.4579,0.1565,-0.1988,-0.0117,0.2336,0.7327,0.6924,-0.0233,0.1263,0.0823,0.044,1,1,1,0,0.5249,0.4751,0.0958,0.803,0.1347,0.0201,0.0083,0.0011,0.0328,0.7216,0.1308,0.246,0.1908,0.0203,38.9,51725,2611271000,62620,0.15,0.226,0.054,243,0.034,0.064,0.055,0.043,0.043,446.85,1113.53,0.4013,1011.52,2226.87,0.4542,0,3067,3076,3133,3132,3153,3275,3321,3373,3310,0.779415502,0.778734177,0.764146341,0.762600438,0.756115108,0.765008176,0.760824742,0.760369702,0.766736159
141,Lamar,rural,1,Rural,1,0,0,0,0,0,0,49793,49793,49793,49793,49793,49793,49793,49793,27979,28116,29766,30080,31030,31449,31391,32351,32252,7862,17294,11022,11592,18823,16639,8928,21410,15402,0.281,0.6151,0.3703,0.3854,0.6066,0.5291,0.2844,0.6618,0.4776,3058,998,Republican,3111,771,Republican,3521,840,Republican,0.1036,0.1506,0.0426,0.0751,0.1219,0.0436,0.0565,0.0835,0.0255,0.0884,0.238,0.1374,0.4744,0.1356,-0.2298,0.5096,0.3974,-0.0743,0.0467,-0.0085,0.0552,1,1,1,0,0.4313,0.5687,0.5796,0.9029,0.0479,0.0213,0.0072,0.0017,0.019,0.3665,0.0359,0.2721,0.1767,0.0231,37.1,55408,705006000,53008,0.178,0.255,0.209,7143,0.038,0.052,0.05,0.04,0.041,359.07,1308.25,0.2745,802.38,2616.5,0.3067,0,486,508,599,642,692,763,798,869,974,0.01737017,0.018068004,0.020123631,0.021343085,0.022300999,0.024261503,0.025421299,0.026861612,0.030199678
142,Lamb,rural,1,Rural,1,0,0,0,0,0,0,13977,13977,13977,13977,13977,13977,13977,13977,8320,8314,8318,8067,8303,8048,7943,8067,7855,1301,4111,2120,2920,4003,3478,2023,4445,3088,0.1564,0.4945,0.2549,0.362,0.4821,0.4322,0.2547,0.551,0.3931,5621,1479,Republican,6385,1483,Republican,8086,2144,Republican,-0.0013,-0.0297,-0.0284,-0.0304,-0.0453,-0.0154,-0.0325,-0.0557,-0.024,-0.0263,0.0812,0.1104,1.2444,0.555,-0.3072,0.6406,0.4566,-0.1121,0.0565,-0.0124,0.0689,1,1,1,0,0.3387,0.6613,0.2078,0.8885,0.0472,0.013,0.0149,0.0052,0.0312,0.7037,0.0395,0.212,0.21,0.0193,44.1,59799,1362509000,67917,0.13,0.187,0.129,1059,0.033,0.054,0.049,0.037,0.038,218.46,537.3,0.4066,527.25,1074.6,0.4906,0,3232,3253,3293,3205,3284,3210,3215,3284,3216,0.388461538,0.391267741,0.395888435,0.397297632,0.395519692,0.398856859,0.404758907,0.407090616,0.409420751
143,Lampasas,rural,1,Urban,0,0,0,0,0,0,1,19677,19677,19677,19677,19677,19677,19677,19677,12503,12537,13088,13173,13786,13992,14508,15396,15896,1954,7322,4698,4413,8413,7590,3872,10431,8280,0.1563,0.584,0.359,0.335,0.6103,0.5425,0.2669,0.6775,0.5209,669,965,Democrat,872,1129,Democrat,1335,1052,Republican,0.0996,0.228,0.1168,0.0536,0.1604,0.1013,0.0691,0.2145,0.1361,0.149,0.4246,0.2399,1.2584,0.9816,-0.1226,0.6156,0.7625,0.0909,0.0935,0.0263,0.0672,2,2,1,1,0,1,0.8633,0.9511,0.0218,0.0129,0.0044,0.0005,0.0094,0.1121,0.0123,0.19,0.1513,0.0196,33.2,51175,337959000,40555,0.29,0.364,0.202,3118,0.024,0.067,0.043,0.029,0.026,277.71,266.07,1.0437,648.63,532.13,1.2189,0,1230,1237,1354,1375,1439,1455,1515,1576,1696,0.09837639,0.098667943,0.103453545,0.104380172,0.104381256,0.103987993,0.104425145,0.10236425,0.106693508
144,Lavaca,rural,1,Rural,1,0,0,0,0,0,0,19263,19263,19263,19263,19263,19263,19263,19263,12831,12862,13131,13051,13259,13137,13297,13622,14000,2622,8372,5060,4639,8733,7765,4628,10242,8236,0.2043,0.6509,0.3853,0.3555,0.6586,0.5911,0.348,0.7519,0.5883,6796,1428,Republican,7347,1170,Republican,8804,1333,Republican,0.0309,0.0591,0.0274,0.0171,0.0363,0.0188,0.0005,0.0662,0.0657,0.0431,0.2234,0.1728,0.7693,0.7651,-0.0024,0.5346,0.6277,0.0607,0.101,0.0077,0.0933,1,1,1,0,0.1761,0.8239,0.2048,0.9054,0.0659,0.0074,0.0062,0.0011,0.014,0.7188,0.058,0.2348,0.2444,0.0341,43.6,65573,1350081000,58400,0.125,0.165,0.196,2749,0.03,0.052,0.045,0.034,0.033,318.3,955.58,0.3331,669.56,1911.16,0.3503,0,1104,1133,1231,1207,1247,1258,1318,1347,1405,0.086041618,0.088088944,0.09374762,0.092483335,0.094049325,0.095760067,0.099120102,0.098884158,0.100357143
145,Lee,rural,1,Rural,1,1,1,1,1,1,1,16612,16612,16612,16612,16612,16612,16612,16612,9278,9361,9876,9955,10294,10384,10643,11121,11553,1730,6240,4285,3836,6558,5852,3690,8122,6309,0.1865,0.6666,0.4339,0.3853,0.6371,0.5636,0.3467,0.7303,0.5461,4507,1632,Republican,4997,1372,Republican,6255,1750,Republican,0.0997,0.188,0.0803,0.073,0.1471,0.0691,0.0514,0.1698,0.1126,0.051,0.3016,0.2385,1.2173,1.1329,-0.0381,0.3657,0.4723,0.0781,0.0637,-0.0295,0.0932,1,1,1,0,0,1,0.256,0.864,0.0986,0.0116,0.0064,0.0022,0.0172,0.6286,0.092,0.2111,0.2065,0.0213,42.8,57356,1029774000,65911,0.123,0.18,0.166,2055,0.026,0.049,0.044,0.036,0.032,193.47,544.35,0.3554,519.54,1088.71,0.4772,1,821,842,937,941,1004,1052,1132,1179,1311,0.088488898,0.089947655,0.094876468,0.094525364,0.097532543,0.101309707,0.106360988,0.106015646,0.113477019
